Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AM;MANAUS;EDILAMAR MARTINS FREIRE - ME;00811011000151;AVENIDA GRAVATAI;13;QD 40 CJ OSV FROTA I;CIDADE NOVA;69095-501;GLP;01/07/2025;120,38;;R$ / 13 kg;FOGAS
SE;SP;JUNDIAI;MVIC COMERCIO DE GAS LTDA;01337428000197;AVENIDA ADELINO MARTINS;1360;;JD TULIPAS;13212-600;GLP;01/07/2025;115;;R$ / 13 kg;ULTRAGAZ
N;AP;MACAPA;GRAVATINHA GAS LTDA;01470539000177;AVENIDA DOS TIMBIRAS;839;;BURITIZAL;68902-872;GLP;01/07/2025;127;;R$ / 13 kg;BRANCA
CO;GO;RIO VERDE;ELIANE DO CARMO SOUZA;01618054000188;RUA GENERAL OSORIO;240;;VILA MARIA;75905-370;GLP;01/07/2025;135;;R$ / 13 kg;BRANCA
S;RS;NOVO HAMBURGO;GAS EXPRESSO COMERCIO DE GAS LTDA;02264480000123;RUA GETULIO VARGAS;11;;PATRIA NOVA;93410-050;GLP;01/07/2025;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;SALVADOR;LUCIANO RODRIGUES COSTA;02685890000148;RUA GONÇALVES CEZIMBRA;22;;PITUAÇU;41741-155;GLP;01/07/2025;135;;R$ / 13 kg;BAHIANA
N;RO;PORTO VELHO;COMERCIAL FAMILIAR COM. VAREJISTA DE PRODUTOS ALIMENTICIOS EIRELI;03229447000125;RUA CORINTHIANS;6837;COM RUA PORTO VELHO;LAGOINHA;76829-786;GLP;01/07/2025;117;;R$ / 13 kg;FOGAS
NE;CE;JUAZEIRO DO NORTE;CARIRI COMERCIO E TRANSPORTES DE DERIVADOS DE PETROLEO LIMITADA;03507744000195;AV AILTON GOMES;2719;;PIRAJA;63020-000;GLP;01/07/2025;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ADAMANTINA;COMERCIO DE GÁS TREVISAN LTDA - ME;03719647000166;ALAMEDA MARIA CANDIDA ROMANINI;1168;;VILA JOAQUINA;17800-000;GLP;01/07/2025;95;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AM;MANAUS;RIO JORDAO COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EIRELI;03864514000183;AVENIDA 7 DE MAIO;1337;;SANTA ETELVINA;69059-140;GLP;01/07/2025;130;;R$ / 13 kg;FOGAS
N;RO;PORTO VELHO;ODNEI MORAIS DE AGUIAR - ME;03881579000137;RUA OSVALDO MOURA;7504;;TANCREDO NEVES;78910-970;GLP;01/07/2025;107;;R$ / 13 kg;BRANCA
SE;MG;BELO HORIZONTE;LUZ & LUZES DISTRIBUIDORA DE GAS LTDA;04286021000176;RUA DEUSDEDITH DE ASSIS;123;;DOM BOSCO;30850-450;GLP;01/07/2025;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;SANTA ROSA;GOLDENGAS COM. DISTRIB. GAS LTDA;04434675000108;RUA EDWINO FENNER;700;;CENTRO;98900-000;GLP;01/07/2025;130;;R$ / 13 kg;LIQUIGÁS
SE;SP;VINHEDO;DI-BELL GÁS LTDA. ME.;04833550000142;RUA ALFREDO ACHAR;775;;NOVA VINHEDO;13280-000;GLP;01/07/2025;102;;R$ / 13 kg;COPA ENERGIA
N;RO;PORTO VELHO;M. APARECIDA BILIO  ME;15875495000170;RUA ZACARIAS BEZERRA;8471;;TANCREDO NEVES;78902-900;GLP;01/07/2025;113;;R$ / 13 kg;FOGAS
SE;ES;LINHARES;S.S.COMERCIO DE GÁS LTDA;31765969000187;RUA BARÃO DE MONJARDIM;355;;NOVO HORIZONTE;29902-150;GLP;01/07/2025;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ADAMANTINA;L. F. GODOI & CIA. LTDA.;46473120000107;AVENIDA CAP JOSE A DE OLIVEIRA;202;232;CENTRO;17800-000;GLP;01/07/2025;109,9;;R$ / 13 kg;LIQUIGÁS
SE;SP;ADAMANTINA;CARLOS ALBERTO HAGUI & CIA LTDA.;46473187000141;AVENIDA DAS ROSAS;107;;VILA JARDIM;17800-000;GLP;01/07/2025;95,9;;R$ / 13 kg;BRANCA
SE;SP;AMERICANA;COMERCIAL AMERICANGAS COMÉRCIO DE GÁS E ÁGUA LTDA.;55927628000129;AVENIDA SAO JERONIMO;1459;;JD. SÃO DOMINGOS II;13471-200;GLP;01/07/2025;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;RO;PORTO VELHO;N S MORENO;63792931000190;RUA IDALVA FRAGA MOREIRA;2828;;JK I;78919-130;GLP;01/07/2025;124;;R$ / 13 kg;FOGAS
SE;MG;IPATINGA;CARVALHO E GARDINGO LTDA;71118939000101;RUA PELOTAS;380;;JARDIM PANORAMA;35164-244;GLP;01/07/2025;108;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CAMBE;CAMBEGÁS COMÉRCIO DE GÁS LTDA;76239110000172;RUA MARECHAL  FLORIANO PEIXOTO;550;;NOVO BANDEIRANTES;86187-120;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
SE;MG;UBERLANDIA;PRONTO GAS LTDA;86513793000168;RUA GUAPEVA;457;;MORUMBI;38407-318;GLP;01/07/2025;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CAMBE;JET-GAS - COMERCIO DE GAS LTDA;03120257000175;RUA PASCOAL MOREIRA CABRAL;832;;JARDIM RIVIEIRA;86187-030;GLP;01/07/2025;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MT;CUIABA;I. F. CORREIA & CIA LTDA;04665924000168;RUA QUILOMBO;69;;QUILOMBO;78045-070;GLP;01/07/2025;115;;R$ / 13 kg;BRANCA
N;RO;PORTO VELHO;GERALDA P. DA C. FARIAS - EPP;03015446000188;RUA RAIMUNDO CANTUARIA;3572;;NOVA PORTO VELHO;76820-179;GLP;01/07/2025;121;;R$ / 13 kg;FOGAS
SE;SP;ADAMANTINA;JS GAS E AGUA ADAMANTINA LTDA;00314066000156;AVENIDA RIO BRANCO;2640;;JD ADAMANTINA;17800-000;GLP;01/07/2025;102;;R$ / 13 kg;ULTRAGAZ
SE;SP;ATIBAIA;DISTRIBUIDORA DE GLP CEREJEIRA LTDA.;03913773000157;AVENIDA PREF. ANTONIO J. DE TOLEDO G. LOPES;1315;;JARDIM CEREJEIRAS;12951-270;GLP;01/07/2025;98;;R$ / 13 kg;BRANCA
CO;MT;CUIABA;OFEJ COMERCIO DE AGUA E GAS LTDA;03769578000103;AVENIDA ARQUIMEDES PEREIRA LIMA;S/N;QUADRA 60;BOA ESPERANCA;78068-305;GLP;01/07/2025;119,99;;R$ / 13 kg;BRANCA
SE;SP;ADAMANTINA;L. F. GODOI & CIA. LTDA.;46473120000530;RUA LIBERO BADARÓ;285;;JAMIL DE LIMA;17800-000;GLP;01/07/2025;95,9;;R$ / 13 kg;LIQUIGÁS
S;PR;GUARAPUAVA;COMERCIAL ÁLVARO DE GÁS LTDA.;77146660000371;RUA TIRADENTES;1711;;BATEL;85010-310;GLP;01/07/2025;105;;R$ / 13 kg;LIQUIGÁS
N;RO;PORTO VELHO;LUIZ PINHEIRO DE LIMA ME;06063287000185;RUA MARIO ANDREAZA;7599;;JK II;78908-500;GLP;01/07/2025;117,5;;R$ / 13 kg;FOGAS
SE;MG;DIVINOPOLIS;VALDINEI SOARES DA SILVA;04580941000100;RUA IBIRITÉ;66;;BOM PASTOR;35500-191;GLP;01/07/2025;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;ANANINDEUA;L N COSTA MICROEMPRESA;05360995000115;TRAVESSA WE 59;1442;CJ GUAJARA I;COQUEIRO;67033-009;GLP;01/07/2025;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;LIMOEIRO DO NORTE;COMERCIAL DE GAS LIMOEIRO LTDA;06292349000120;RUA CELIO SANTIAGO;1407;;BROTOLANDIA;62930-000;GLP;01/07/2025;120;;R$ / 13 kg;LIQUIGÁS
SE;MG;UBERLANDIA;MARLON REIS TEODORO;04801175000159;RUA ABELARDO PENNA;254;;SAO JORGE;38400-222;GLP;01/07/2025;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;ANANINDEUA;M. A. S. SOARES - ME;04731342000132;RUA WE 26;152;CIDADE NOVA VIII;COQUEIRO;06713-350;GLP;01/07/2025;109;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;ANANINDEUA;P C R PAIVA COMERCIAL LTDA;06972477000115;TRAVESSA TRAVESSA SN 16;6;CONJ  CIDADE NOVA VII;COQUEIRO;67140-530;GLP;01/07/2025;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;MARINGA;MARINGA COMERCIO DE GAS LTDA ME;06880206000130;AVENIDA DOS PALMARES;495;;JD LIBERDADE;87047-035;GLP;01/07/2025;100;;R$ / 13 kg;BRANCA
S;RS;SANTA ROSA;NOROESTE COMERCIO DE GAS LTDA;06339959000132;AVENIDA FLORES DA CUNHA;201;ANEXO 1;CRUZEIRO;98789-112;GLP;01/07/2025;120;;R$ / 13 kg;ULTRAGAZ
SE;SP;SERTAOZINHO;MARCHIORI GAS LTDA;05580812000258;AVENIDA ANTONIO PASCHOAL;1001;;CENTRO;14160-500;GLP;01/07/2025;103;;R$ / 13 kg;ULTRAGAZ
S;RS;SANTA ROSA;TIMM, TELO & CIA LTDA;05438269000178;RODOVIA RS-307;381;;AUXILIADORA;98796-610;GLP;01/07/2025;112;;R$ / 13 kg;BRANCA
SE;SP;ARARAQUARA;ANTONIO GONÇALVES FILHO ARARAQUARA;01046437000129;RUA DOUTOR JOSÉ LOGATTI;366;;JARDIM ROBERTO SELMI DEY;14808-403;GLP;01/07/2025;120;;R$ / 13 kg;ULTRAGAZ
CO;MT;RONDONOPOLIS;MARCIO ALEXANDRE SIQUERI;01699426000148;RUA VALPARAIZO;1736;QDA  4  LOTE  06;JOSE  LUIZ;78710-020;GLP;01/07/2025;140;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;GUARAPUAVA;DISTRIBUIDORA DUBENA LTDA.;04190715000296;RUA SALVADOR SCHNEIDER;2380;;VILA BELA;85020-430;GLP;01/07/2025;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;RO;PORTO VELHO;MANOEL EVANGELISTA DE OLIVEIRA FEITOSA - ME.;02101461000186;RUA ARUBA;9062;FRENTE;SOCIALISTA;76829-180;GLP;01/07/2025;115;;R$ / 13 kg;FOGAS
NE;BA;SALVADOR;MARANATA COMERCIO DE GAS LTDA;06103440000150;RUA EDUARDO CAMPOS;47;LOJA  01                        DEPOSITO NR 01;BOCA DO RIO;41705-230;GLP;01/07/2025;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;BARRETOS;C.M. DE MELO SANTOS - ME;06089156000177;VIA CONSELHEIRO ANTÔNIO PRADO;832;;PEREIRA;14784-200;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;ESPINDOLA & SANTANA COMERCIO DE GLP LTDA;07544909000230;RUA PADRE MUSA TUMA;107;;JARDIM ITAMARACA;79062-130;GLP;01/07/2025;100;;R$ / 13 kg;ULTRAGAZ
N;PA;ANANINDEUA;A. J. M. FONTENELE - ME;06233608000142;TRAVESSA WE 83 SN 22;912;A, CJ. C. NOVA VI;COQUEIRO;67000-000;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;LIDINÉA DE JESUS CHUERIY DA CUNHA;06129786000128;RUA FIRMO CRISTALDO;271;;NOVA LIMA;79017-130;GLP;01/07/2025;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;AMERICANA;EDI COMÉRCIO DE GÁS E ÁGUA MINERAL LTDA ME;07082442000173;AVENIDA PREFEITO ABDO NAJAR;668;;VILA GALO;13466-070;GLP;01/07/2025;115;;R$ / 13 kg;LIQUIGÁS
N;AP;MACAPA;J. C. DISTRIBUIDORA LTDA - EPP;04420885000210;RODOVIA DO CURIAU;281;A;JARDIM FELICIDADE I;68909-120;GLP;01/07/2025;123;;R$ / 13 kg;LIQUIGÁS
CO;GO;RIO VERDE;DISK GAS & AGUA BEIJA FLOR LTDA;07502181000101;RUA MARIA DE LOURDES CAMPOS;276;QUADRA05                  LOTE  120;RESIDENCIAL DONA IIZA;75907-840;GLP;01/07/2025;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;UBERLANDIA;F P N JUNIOR GÁS;07737903000107;RUA DIMAS MOREIRA DE SA;2596;;CUSTODIO PEREIRA;38405-254;GLP;01/07/2025;100;;R$ / 13 kg;BRANCA
SE;SP;ARARAQUARA;MARIA GILDA BISPO FIRMINO GÁS - ME;06164162000141;AVENIDA FRANCISCO VAZ FILHO;2677;;JARDIM DAS ESTAÇÕES;14810-500;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
S;PR;MARINGA;RENATO JORGETO DA SILVA - COMÉRCIO DE GÁS;07712455000189;AVENIDA CARLOS CORREIA BORGES;982;;ZONA 40;87060-000;GLP;01/07/2025;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;AMERICANA;EVERSON LONGO;05976570000135;AVENIDA   AFFONSO ARINOS;691;;ANTONIO ZANAGA;13474-580;GLP;01/07/2025;104,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;MARINGA;MARCELO LAZZARIM;05819541000160;AVENIDA CARLOS CORREA BORGES;3292;;JARDIM ATAMI;87062-202;GLP;01/07/2025;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;SANTA ROSA;ANGST COMERCIO DE GAS LTDA;04582455000113;RUA DOUTOR FRANCISCO TIMM;2595;;TIMBAUVA;98781-404;GLP;01/07/2025;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;TAUBATE;ELINES DE OLIVEIRA MENDONCA DOS SANTOS;07738419000194;ESTRADA MUNICIPAL DO BARREIRO;2085;;SAO GONCALO;12092-000;GLP;01/07/2025;92;;R$ / 13 kg;BRANCA
SE;SP;TAUBATE;JOAO PAULO DA COSTA;08365374000112;ESTRADA DO BARREIRO;5619;;SAO GONCALO;12092-000;GLP;01/07/2025;88;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;AMERICANA;LINO COMERCIO DE GAS LTDA;08330152000164;RUA ORLANDO DEI SANTI;1286;;JARDIM AMERICA;13477-150;GLP;01/07/2025;119,99;;R$ / 13 kg;BRANCA
N;AP;MACAPA;M. M. SILVA BITTENCOURT - ME;07408521000121;AVENIDA REMOS AMORAS DE OLIVEIRA;785;A;MUCA;68902-315;GLP;01/07/2025;116;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;TAUBATE;LUZIA GOMES DE PAULA TAUBATÉ ME;02253556000115;AVENIDA DOUTOR JOÃO BATISTA ORTIZ MONTEIRO;620;;PARQUE PIRACANGAGUA;12040-250;GLP;01/07/2025;100;;R$ / 13 kg;BRANCA
SE;ES;LINHARES;DEGAN COMERCIO DE GAS LTDA ME;08600977000151;AVENIDA VASCO FERNANDES COUTINHO;625;LJ 01;INTERLAGOS;29903-068;GLP;01/07/2025;110;;R$ / 13 kg;LIQUIGÁS
S;RS;NOVO HAMBURGO;JOEL GUIMARAES OLIVEIRA;08854729000137;RUA CERPA;71;;LIBERDADE;93330-240;GLP;01/07/2025;105;;R$ / 13 kg;BRANCA
N;RO;PORTO VELHO;E. R. SOARES;08923937000140;RUA SHEILA REGINA;5745;;ESPERANCA DA COMUNIDADE;76825-096;GLP;01/07/2025;115;;R$ / 13 kg;FOGAS
SE;SP;JUNDIAI;M. L. SILVA VIOLETTI - ME.;06789282000134;AVENIDA AMELIA LATORRE;309;;RETIRO;13211-000;GLP;01/07/2025;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;TAUBATE;RAYMUNDO GUEDES BARBOSA MARTINS - ME;08289025000169;AVENIDA OSVALDO ARANHA;266;;TERRA NOVA;12082-800;GLP;01/07/2025;85;;R$ / 13 kg;BRANCA
S;PR;CAMBE;CICERO CÂNDIDO DE SOUZA;06332395000106;RUA CORONEL JOÃO GUALBERTO;447;;JARDIM NOVO BANDEIRANTES;86188-050;GLP;01/07/2025;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SERTAOZINHO;FRANCA GAS LTDA;06111390000153;AVENIDA EDUARDO TONIELLO STZ 50;1341;SALA  02;JARDIM GIMENEZ;14161-350;GLP;01/07/2025;99,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;CAMBE;BANDEIRANTES GÁS LTDA;09251112000190;RUA CORONEL  JOAO GUALBERTO;321;;JARDIM SILVINO;86188-050;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
SE;RJ;ANGRA DOS REIS;MENDONCA & PIRES COMERCIO DE GAS LTDA;72391584000184;ALAMEDA LUIZA ANGELICA;220;ANT 229 Q5 L5;BALNEARIO;23906-195;GLP;01/07/2025;125;;R$ / 13 kg;ULTRAGAZ
S;RS;NOVO HAMBURGO;COMERCIAL DE GAS MAKEWITZ LTDA;07534457000125;RUA ONZE DE JUNHO;500;;OPERARIO;93315-130;GLP;01/07/2025;115;;R$ / 13 kg;LIQUIGÁS
CO;MT;CUIABA;GIANNI F GONCALVES;09372175000102;AVENIDA IPIRANGA;1810A;;CIDADE ALTA;78030-500;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
N;AP;MACAPA;M. DA SILVA OLIVEIRA EIRELI - ME;00451408000180;AVENIDA TREZE DE SETEMBRO;846;;TREM;68902-865;GLP;01/07/2025;116;;R$ / 13 kg;LIQUIGÁS
N;AP;MACAPA;MARIA HELENA FERREIRA LIMA - ME.;74132002000170;AVENIDA SALGADO FILHO;756;;SANTA RITA;68901-281;GLP;01/07/2025;132;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;RO;PORTO VELHO;NEYJHON COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA. - ME.;00590065000134;AVENIDA CALAMA;5658;;FLODOALDO PONTES PINTO;78908-010;GLP;01/07/2025;115;;R$ / 13 kg;AMAZONGÁS
S;SC;CONCORDIA;LAZZARIN GAS E AGUA LTDA;02041344000174;RUA PREFEITO SEGUNDO DALLA COSTA;498;;DAS NACOES;89700-001;GLP;01/07/2025;105;;R$ / 13 kg;BRANCA
NE;CE;LIMOEIRO DO NORTE;SAO MATHEUS COMERCIAL DE GAS LTDA;10404912000182;RUA CEL. CLOVIS ALEXANDRINO;1910;;BROTOLANDIA;62930-000;GLP;01/07/2025;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ARARAQUARA;ROBERTO CARLOS BATISTA SILVA GÁS - ME;05603020000170;AVENIDA FRANCISCO VAZ FILHO;2492;;VILA XAVIER;14810-500;GLP;01/07/2025;115;;R$ / 13 kg;LIQUIGÁS
S;RS;SANTA ROSA;EICHELT & EICHELT LTDA;10748731000173;ESTRADA RS 344 KM 41;SN;ESTRADA P/TUPARENDI;INTERIOR;98780-001;GLP;01/07/2025;120;;R$ / 13 kg;ULTRAGAZ
N;AM;MANAUS;IGAPO COMERCIO DE DERIVADOS DE PETROLEO LTDA;10897820000181;AVENIDA MARGARITA;1147;CJ RES. NOVA CIDADE;NOVA CIDADE;69097-305;GLP;01/07/2025;130;;R$ / 13 kg;FOGAS
SE;SP;ARARAQUARA;ROSSI COMÉRCIO DE GÁS LTDA - ME.;10935370000174;RUA ARMANDO SALLES DE OLIVEIRA;1675;;BOSQUE DA SAUDE;14802-175;GLP;01/07/2025;125;;R$ / 13 kg;ULTRAGAZ
NE;PE;ARCOVERDE;R T DE SIQUEIRA CALMON DISTRIBUIDORA DE GAS EIRELI;11017961000125;RUA GILBERTO SILVEIRA DE LIMA;70;;SAO MIGUEL;56509-340;GLP;01/07/2025;97,99;;R$ / 13 kg;MINASGAS
SE;SP;ATIBAIA;LUIZ CARLOS RIGORINI - ME;10349163000138;AL PROFESSOR LUCAS NOGUEIRA GARCEZ;3919;;JARDIM PAULISTA;12947-000;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;JOSÉ VALDECI DE FARIAS;05095334000100;AVENIDA ITABERABA;3740;;ITABERABA;02846-160;GLP;01/07/2025;104,99;;R$ / 13 kg;COPA ENERGIA
SE;SP;BARRETOS;J.S. TAVARES COMÉRCIO DE GÁS LTDA - ME;11167134000118;AVENIDA OLIMPIA;590;;MARILIA;14780-450;GLP;01/07/2025;105;;R$ / 13 kg;BRANCA
S;PR;MARINGA;CALAES - COMERCIO E TRANSPORTE DE GAS LTDA;10775158000197;AVENIDA GUAIAPO;1333;;CONJUNTO REQUIAO;87047-000;GLP;01/07/2025;104,9;;R$ / 13 kg;LIQUIGÁS
N;AM;MANAUS;R R DO N SALES - ME.;07793740000171;RUA 17;2;QD. 106, CJ CN, ET 2, NC 3;CIDADE NOVA;69094-170;GLP;01/07/2025;125;;R$ / 13 kg;AMAZONGÁS
SE;MG;BELO HORIZONTE;COMERCIAL ALO GAS E BEBIDAS LTDA;08650625000100;AVENIDA BRIGADEIRO EDUARDO GOMES;1009;;NOSSA SENHORA DA GLORIA;30870-100;GLP;01/07/2025;100;;R$ / 13 kg;BRANCA
S;PR;LONDRINA;GASULTRA REVENDA E COMERCIO DE GAS LTDA;11025423000182;AVENIDA SAUL ELKIND;2840;;RESIDENCIAL PROF MARIETA;86082-000;GLP;01/07/2025;112;;R$ / 13 kg;ULTRAGAZ
CO;MT;CUIABA;MEDINA GAS E AGUA LTDA;09330207000107;RUA J 10;127;QUADRA 05;NOSSA SENHORA APARECIDA;78090-690;GLP;01/07/2025;121;;R$ / 13 kg;COPA ENERGIA
SE;MG;CARATINGA;IZALINO MARTINS FAGUNDES - ME;10277543000104;TRAVESSA JOSE MARTINS GUIMARÃES;58;;SANTO ANTONIO;35300-139;GLP;01/07/2025;125;;R$ / 13 kg;LIQUIGÁS
SE;RJ;ANGRA DOS REIS;NOVA ANGRA COMÉRCIO DE GÁS E ÁGUA LTDA. ME.;10308370000144;RUA  AZEVEDO E SOUZA;180;LOTE 33;JARDIM BALNEÁRIO;23906-010;GLP;01/07/2025;125;;R$ / 13 kg;BRANCA
CO;MT;RONDONOPOLIS;NG NOVO GUARUJA II COMERCIO DE COMBUSTIVEL LTDA;11976306000102;RUA FERNANDO CORREA DA COSTA;666;;VILA AURORA I;78740-000;GLP;01/07/2025;129,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;TAUBATE;P R BENTO BALON;11130009000133;AVENIDA ASSIS CHATEAUBRIAND;70;;JARDIM INDEPENDENCIA;12031-230;GLP;01/07/2025;100;;R$ / 13 kg;ULTRAGAZ
CO;MT;CUIABA;J O DISTRIBUIDORA DE AGUA E GAS LTDA;12141568000101;RUA SAO  JOAO;9;QUADRA 05;JARDIM DAS PALMEIRAS;78080-187;GLP;01/07/2025;125;;R$ / 13 kg;BRANCA
N;AP;MACAPA;BEIJA FLOR GAS LTDA - EPP;11867779000163;RUA   GUILHERME COELHO;2469;;JARDIM FELICIDADE;68909-080;GLP;01/07/2025;118;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;ADAMANTINA;VIA NATURAL COMERCIO DE AGUA E GAS EIRELI - ME;11934416000101;RUA ANTONIO BUZZETO;359;;VILA CICMA;17800-000;GLP;01/07/2025;90;;R$ / 13 kg;BRANCA
N;AP;MACAPA;T. N. S. DA S. O. PANTOJA;13035765000109;AVENIDA PRIMEIRO DE MAIO;899;;BURITIZAL;68902-891;GLP;01/07/2025;115;;R$ / 13 kg;BRANCA
S;SC;CONCORDIA;JOÃO CARLOS MENOSSO ME;04861002000126;RUA TUPYS;15;TÉRREO;SUNTI;89700-000;GLP;01/07/2025;105;;R$ / 13 kg;BRANCA
SE;MG;UBERLANDIA;JOAO BATISTA DE MELO - DEPOSITO DE GAS;13508280000195;AVENIDA JERONIMO JOSE ALVES;2056;;MORUMBI;38407-285;GLP;01/07/2025;110;;R$ / 13 kg;BRANCA
SE;SP;ATIBAIA;PORTÃO COMÉRCIO DE GÁS E ÁGUA LTDA;13288996000124;RUA ANTONIO CUNHA LEITE;2085;;BAIRRO DO PORTÃO;12948-110;GLP;01/07/2025;110;;R$ / 13 kg;LIQUIGÁS
N;RO;PORTO VELHO;MARIA APARECIDA DOS SANTOS - ME;11031503000140;RUA PAULO FORTES;6947;CONJUNTO 4 DE JANEIRO;APONIA;76824-084;GLP;01/07/2025;121;;R$ / 13 kg;FOGAS
S;SC;FLORIANOPOLIS;CUECA GAS E AGUA LTDA ME;12186450000108;SERVIDAO   APOLLO;70;;SACO DOS LIMOES;88045-102;GLP;01/07/2025;125;;R$ / 13 kg;BRANCA
