Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MT;CUIABA;COMERCIAL ITALIA EIRELI;02977286000195;AVENIDA ARCHIMEDES PEREIRA LIMA;1700;AREA B;JARDIM ITALIA;78060-810;GLP;01/07/2025;115;;R$ / 13 kg;BRANCA
N;PA;ANANINDEUA;LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA;06266344000395;RUA CLAUDIO SANDERS;1400;ESTRADA DO MAGUARY;CENTRO;67030-160;GLP;01/07/2025;104;;R$ / 13 kg;BRANCA
NE;RN;NATAL;JVC COMERCIAL LTDA;35298330000602;AVENIDA PRUDENTE DE MORAIS;1854;;LAGOA NOVA;59063-200;GLP;01/07/2025;118;;R$ / 13 kg;LIQUIGÁS
NE;RN;NATAL;FLOR E OLIVEIRA LTDA;12689295000215;AVENIDA GOV. TARCISIO DE VASCONCELOS MAIA;1450;A;CANDELARIA;59065-780;GLP;01/07/2025;128;;R$ / 13 kg;LIQUIGÁS
N;RO;PORTO VELHO;POSTO MAIA LTDA;02745235000138;AVENIDA NAÇÕES UNIDAS;238;;NOSSA SENHORA DAS GRAÇAS;78915-040;GLP;01/07/2025;130;;R$ / 13 kg;FOGAS
N;RO;PORTO VELHO;JANETE N. C. ALVES;00820119000100;RUA JOSÉ VIEIRA CAULA;4712;;AGENOR DE CARVALHO;78909-490;GLP;01/07/2025;120;;R$ / 13 kg;FOGAS
SE;SP;SERTAOZINHO;AUTO POSTO CARLETO LTDA;96318571000229;AVENIDA ANTONIO PASCHOAL;1128;;CENTRO;14170-500;GLP;01/07/2025;107;;R$ / 13 kg;ULTRAGAZ
SE;SP;SERTAOZINHO;AUTO POSTO CARLETO LTDA;96318571000148;AVENIDA PEDRO STRINI;330;;JD LIBERDADE;14164-000;GLP;01/07/2025;97;;R$ / 13 kg;BRANCA
N;AM;MANAUS;H W COMERCIO DE PETROLEO LTDA;08827132000101;RUA BARAO DE INDAIA;712;;FLORES;69065-000;GLP;01/07/2025;128;;R$ / 13 kg;AMAZONGÁS
CO;MT;RONDONOPOLIS;SCALEZ - COMERCIO DE DERIVADOS DE PETROLEO LTDA;02748491000189;AVENIDA BANDEIRANTES;5124;_____________________;VILA OPERARIA;78720-000;GLP;01/07/2025;130;;R$ / 13 kg;BRANCA
CO;MT;RONDONOPOLIS;AUTO POSTO TS LTDA;01292671000136;RUA FERNANDO CORREA DA COSTA;2655;;VILA ANDREIA;78705-071;GLP;01/07/2025;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
